t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,19.4,0,0,0,7324.5,1523.0,12.3
2.0,0.0,0.0,19.4,0,0,0,7733.4,2335.7,848.6
4.1,0.0,0.0,19.4,0,0,0,8384.4,2300.5,4649.3
6.1,0.0,0.0,19.4,0,0,0,8233.0,3028.4,4221.4
8.1,0.0,0.0,19.4,0,0,0,8234.7,3342.2,4142.4
10.1,0.0,0.0,19.4,0,0,0,8271.9,3390.4,4680.4
12.1,0.0,0.0,19.4,0,0,0,8332.2,2975.3,4299.3
14.2,0.0,0.0,19.4,0,0,0,8288.0,3363.6,4680.3
16.2,0.0,0.0,19.4,0,0,0,8363.1,3283.5,4644.4
18.2,0.0,0.0,19.4,0,0,0,8315.9,3206.0,4139.7
20.2,0.0,0.0,19.4,0,0,0,8272.9,2553.8,4726.3
22.2,0.0,0.0,19.4,0,0,0,8315.5,2995.1,4222.1
24.3,0.0,0.0,19.4,0,0,0,8316.7,3349.4,4683.6
26.3,0.0,0.0,19.4,0,0,0,8483.1,3048.2,4405.0
28.3,0.0,0.0,19.4,0,0,0,8314.8,3349.6,4683.6
30.3,0.0,0.0,19.4,0,0,0,8467.9,3185.5,4537.2
32.3,0.0,0.0,19.4,0,0,0,8306.9,3288.8,4143.0
34.4,0.0,0.0,19.4,0,0,0,8319.6,3349.0,4683.6
36.4,0.0,0.0,19.4,0,0,0,8267.4,2498.2,4143.6
38.4,0.0,0.0,19.4,0,0,0,8325.4,3349.4,4683.6
40.4,0.0,0.0,19.4,0,0,0,8321.9,3209.0,4143.1
42.4,0.0,0.0,19.4,0,0,0,8323.0,3349.4,4683.6
44.5,0.0,0.0,19.4,0,0,0,8324.2,3208.9,4222.1
46.5,0.0,0.0,19.4,0,0,0,8326.3,3348.9,4683.6
48.5,0.0,0.0,19.4,0,0,0,8327.8,2994.6,4222.1
50.5,0.0,0.0,19.4,0,0,0,8320.2,3348.9,4683.6
52.5,0.0,0.0,19.4,0,0,0,8279.5,2994.8,4222.6
54.6,0.0,0.0,19.4,0,0,0,8315.7,3349.2,4683.6
56.6,0.0,0.0,19.4,0,0,0,8316.7,2994.8,4222.1
58.6,0.0,0.0,19.4,0,0,0,8319.8,3349.2,4683.7
60.6,0.0,0.0,19.4,0,0,0,8416.4,2985.7,4343.1
62.6,0.0,0.0,19.4,0,0,0,8318.0,3349.0,4683.6
64.7,0.0,0.0,19.4,0,0,0,8368.6,3201.8,4667.7
66.7,0.0,0.0,19.4,0,0,0,8253.7,3315.1,4344.5
68.7,0.0,0.0,19.4,0,0,0,7218.4,3547.1,5720.7
70.8,0.0,0.0,19.4,0,0,0,6864.6,3536.5,4988.7
72.8,0.0,0.0,19.4,0,0,0,6864.6,3528.0,5868.0
74.8,0.0,0.0,19.4,0,0,0,6804.5,3523.4,4921.8
76.8,0.0,0.0,19.4,0,0,0,6768.3,3829.8,6069.9
