t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,11.8,0,0,0,5586.3,1638.3,11.6
2.0,0.0,0.0,11.8,0,0,0,6527.7,3127.9,1546.9
4.1,0.0,0.0,11.8,0,0,0,8880.1,2712.2,2415.4
6.1,0.0,0.0,11.8,0,0,0,9108.1,3023.4,3457.7
8.1,0.0,0.0,11.8,0,0,0,9332.6,3025.1,3252.0
10.1,0.0,0.0,11.8,0,0,0,9663.7,3363.7,3131.8
12.1,0.0,0.0,11.8,0,0,0,9150.6,2984.5,3453.0
14.2,0.0,0.0,11.8,0,0,0,9363.8,2978.5,3355.6
16.2,0.0,0.0,11.8,0,0,0,9226.0,3428.4,3445.7
18.2,0.0,0.0,11.8,0,0,0,9304.6,2969.2,3455.6
20.2,0.0,0.0,11.8,0,0,0,9372.8,2969.1,3455.1
22.3,0.0,0.0,11.8,0,0,0,9267.6,3400.4,3592.3
24.3,0.0,0.0,11.8,0,0,0,9384.3,2969.2,3455.1
26.3,0.0,0.0,11.8,0,0,0,9191.0,2968.7,3455.1
28.3,0.0,0.0,11.8,0,0,0,9352.0,3301.9,3506.4
30.3,0.0,0.0,11.8,0,0,0,9378.0,2311.6,3455.6
32.4,0.0,0.0,11.8,0,0,0,9192.1,2969.1,3455.1
34.4,0.0,0.0,11.8,0,0,0,9371.1,3285.4,3467.3
36.4,0.0,0.0,11.8,0,0,0,9394.0,2969.3,3455.1
38.4,0.0,0.0,11.8,0,0,0,9216.5,2969.2,3455.1
40.5,0.0,0.0,11.8,0,0,0,9460.2,3204.6,3442.9
42.5,0.0,0.0,11.8,0,0,0,9198.7,3075.6,3455.1
44.5,0.0,0.0,11.8,0,0,0,9379.4,2969.1,3455.6
46.6,0.0,0.0,11.8,0,0,0,9559.4,3269.9,1887.4
48.6,0.0,0.0,11.8,0,0,0,9211.5,2969.0,3455.1
50.6,0.0,0.0,11.8,0,0,0,9344.6,2969.0,3455.1
52.6,0.0,0.0,11.8,0,0,0,9680.9,3247.2,1797.4
54.6,0.0,0.0,11.8,0,0,0,9225.9,3075.4,3455.1
56.7,0.0,0.0,11.8,0,0,0,7610.4,3135.6,5261.4
58.7,0.0,0.0,11.8,0,0,0,7601.9,3139.2,5253.8
60.7,0.0,0.0,11.8,0,0,0,7601.9,3140.7,5251.2
