t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,131.6,0,0,0,11143.1,343.0,12.1
2.0,0.0,0.0,131.5,0,0,0,11482.3,2818.8,2508.9
4.0,0.0,0.0,129.5,0,0,0,9378.5,977.3,4568.2
6.1,0.0,0.0,129.5,0,0,0,9451.8,1908.6,4513.1
8.1,0.0,0.0,129.5,0,0,0,9450.5,1908.7,4513.1
10.1,0.0,0.0,129.5,0,0,0,9458.1,1902.1,4510.6
12.1,0.0,0.0,129.5,0,0,0,9449.5,997.9,4511.6
14.2,0.0,0.0,129.5,0,0,0,9455.0,1902.5,4511.2
16.2,0.0,0.0,129.5,0,0,0,9454.3,1902.6,4511.1
18.2,0.0,0.0,129.5,0,0,0,9456.2,1902.4,4511.2
20.2,0.0,0.0,129.5,0,0,0,9497.6,955.1,4469.1
22.2,0.0,0.0,129.5,0,0,0,9496.7,1859.8,4468.7
24.3,0.0,0.0,129.5,0,0,0,9497.2,1855.8,4468.7
26.3,0.0,0.0,129.5,0,0,0,9496.7,1851.2,4468.7
28.3,0.0,0.0,129.5,0,0,0,9498.3,946.7,4469.1
30.3,0.0,0.0,129.5,0,0,0,9497.5,1851.8,4468.7
32.3,0.0,0.0,129.5,0,0,0,9501.8,1851.7,4468.5
34.4,0.0,0.0,129.5,0,0,0,9503.0,1851.0,4468.7
36.4,0.0,0.0,129.5,0,0,0,7783.4,2803.4,6177.5
38.4,0.0,0.0,129.5,0,0,0,7727.5,2799.1,6105.8
40.4,0.0,0.0,129.5,0,0,0,7727.6,2838.5,6172.5
