t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,19.4,0,0,0,8425.9,1580.5,12.2
2.0,0.0,0.0,19.4,0,0,0,9023.1,2630.4,1094.0
4.0,0.0,0.0,19.4,0,0,0,8791.5,2597.6,4063.2
6.1,0.0,0.0,19.4,0,0,0,8935.1,3000.3,4052.0
8.1,0.0,0.0,19.4,0,0,0,8856.3,3000.1,4049.9
10.1,0.0,0.0,19.4,0,0,0,8871.8,2997.7,4047.3
12.1,0.0,0.0,19.4,0,0,0,8930.7,2997.0,4047.3
14.1,0.0,0.0,19.4,0,0,0,8913.6,3000.5,4049.9
16.2,0.0,0.0,19.4,0,0,0,8941.3,3000.4,4049.5
18.2,0.0,0.0,19.4,0,0,0,8934.2,2999.2,4049.5
20.2,0.0,0.0,19.4,0,0,0,8918.5,2998.6,4049.5
22.2,0.0,0.0,19.4,0,0,0,8925.2,2101.5,4050.0
24.3,0.0,0.0,19.4,0,0,0,8936.7,2998.9,4049.5
26.3,0.0,0.0,19.4,0,0,0,8926.9,2998.8,4049.5
28.3,0.0,0.0,19.4,0,0,0,8929.7,3000.0,4049.5
30.3,0.0,0.0,19.4,0,0,0,8947.8,2998.3,4049.5
32.4,0.0,0.0,19.4,0,0,0,8944.5,2998.8,4050.0
34.4,0.0,0.0,19.4,0,0,0,8927.9,2998.8,4049.5
36.4,0.0,0.0,19.4,0,0,0,8946.4,2998.8,4049.5
38.4,0.0,0.0,19.4,0,0,0,8949.3,2998.3,4049.5
40.5,0.0,0.0,19.4,0,0,0,7279.8,3386.7,4627.6
42.5,0.0,0.0,19.4,0,0,0,7279.9,3497.7,4695.9
44.5,0.0,0.0,19.4,0,0,0,7279.9,3499.4,4693.2
