t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,19.1,0,0,0,7319.0,1517.3,12.3
2.0,0.0,0.0,19.1,0,0,0,7869.0,2471.6,988.9
4.0,0.0,0.0,19.2,0,0,0,8310.3,2418.0,4722.9
6.1,0.0,0.0,19.2,0,0,0,8352.9,2990.1,4221.7
8.1,0.0,0.0,19.2,0,0,0,8353.6,3284.1,3484.1
10.1,0.0,0.0,19.2,0,0,0,8359.3,3342.9,4680.6
12.1,0.0,0.0,19.2,0,0,0,8574.1,3081.6,4452.4
14.1,0.0,0.0,19.2,0,0,0,8350.7,3280.9,3481.6
16.2,0.0,0.0,19.2,0,0,0,8351.2,3341.2,4680.6
18.2,0.0,0.0,19.2,0,0,0,8354.5,3200.7,3718.6
20.2,0.0,0.0,19.2,0,0,0,8355.8,2549.6,4684.5
22.2,0.0,0.0,19.2,0,0,0,8351.0,3203.8,3721.9
24.2,0.0,0.0,19.2,0,0,0,8282.4,3376.6,4683.9
26.2,0.0,0.0,19.2,0,0,0,8294.2,3340.2,3484.8
28.3,0.0,0.0,19.2,0,0,0,8479.0,3201.2,4516.3
30.3,0.0,0.0,19.2,0,0,0,8320.7,3381.7,4683.9
32.3,0.0,0.0,19.2,0,0,0,8444.1,3039.3,4370.5
34.3,0.0,0.0,19.2,0,0,0,8343.8,3356.5,4683.9
36.3,0.0,0.0,19.2,0,0,0,8225.5,2105.4,4261.0
38.4,0.0,0.0,19.2,0,0,0,8355.4,3344.6,4683.9
40.4,0.0,0.0,19.2,0,0,0,8344.1,2990.2,4222.3
42.4,0.0,0.0,19.2,0,0,0,8354.3,3344.6,4683.9
44.4,0.0,0.0,19.2,0,0,0,8360.7,3204.4,4011.7
46.4,0.0,0.0,19.2,0,0,0,8355.0,3344.4,4683.9
48.5,0.0,0.0,19.2,0,0,0,8356.9,3284.1,3721.9
50.5,0.0,0.0,19.2,0,0,0,8368.0,3336.2,4683.9
52.5,0.0,0.0,19.2,0,0,0,8219.5,2548.7,4480.3
54.6,0.0,0.0,19.2,0,0,0,8427.3,3256.4,4683.9
56.6,0.0,0.0,19.2,0,0,0,8357.3,3310.3,3484.9
58.6,0.0,0.0,19.2,0,0,0,8423.0,3267.1,4649.8
60.6,0.0,0.0,19.2,0,0,0,8354.8,3418.7,3585.6
62.6,0.0,0.0,19.2,0,0,0,8516.6,3176.7,4537.3
64.7,0.0,0.0,19.2,0,0,0,8358.7,3347.4,3872.6
66.7,0.0,0.0,19.2,0,0,0,8492.5,3181.0,4539.4
68.7,0.0,0.0,19.2,0,0,0,7311.6,3482.4,5724.9
70.7,0.0,0.0,19.2,0,0,0,6107.0,3487.0,6917.0
72.7,0.0,0.0,19.2,0,0,0,6107.0,4596.0,6914.9
74.8,0.0,0.0,19.2,0,0,0,6107.0,3487.1,6910.7
76.8,0.0,0.0,19.2,0,0,0,6107.0,3487.2,6908.6
78.8,0.0,0.0,19.2,0,0,0,5639.2,3492.0,2338.1
