t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,child_footprint_mb,child_peak_footprint_mb
0.1,0.0,0.0,0.0,0,0,0,14.0,14.0
1.2,0.0,0.0,0.0,0,0,0,129.0,129.0
2.8,0.0,0.0,118.9,0,0,0,4241.0,4241.0
4.1,0.0,0.0,8050.5,0,0,0,7890.0,7890.0
5.3,0.0,0.0,8877.3,0,0,0,8090.0,8090.0
6.5,0.0,0.0,2077.5,0,0,0,8286.0,8286.0
