t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,611.8,0.0,341.6,1174242,2346195,0,1195.9,1270.3,14.0,14.0
1.2,611.8,0.0,341.7,1174266,2346195,0,1319.6,1469.6,202.0,202.0
2.4,611.8,0.0,341.5,1174270,2346195,0,1863.9,1711.7,10254.0,10254.0
3.6,611.8,0.0,352.6,1174278,2346195,0,1315.1,1517.3,13326.0,13326.0
4.9,611.8,0.0,356.2,1174282,2346195,0,1284.5,4046.0,13326.0,13326.0
6.2,611.8,0.0,397.5,1174294,2346195,0,1286.2,5348.3,13326.0,13326.0
