t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,497.8,0.0,269.9,1171113,2335831,0,3423.6,2463.5,15.0,15.0
1.2,497.8,0.0,269.6,1171121,2335831,0,3541.1,2714.2,202.0,202.0
2.4,497.8,0.0,269.5,1171121,2335831,0,4162.2,3066.5,6174.0,6174.0
3.8,497.8,0.0,1333.1,1171137,2335831,0,968.2,2392.8,14351.0,14351.0
5.1,648.9,151.1,1103.0,1171664,2346011,10180,315.8,320.2,14351.0,14351.0
6.2,643.8,145.9,2524.3,1171844,2346195,10364,556.3,5545.3,15.0,15.0
