t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,579.9,0.0,158.3,1356681,2614066,0,10756.2,2167.1,14.1
1.0,579.9,0.0,158.7,1356709,2614066,0,10834.2,2386.6,208.2
2.0,579.9,0.0,158.8,1356713,2614066,0,3163.7,2597.9,10893.4
3.1,579.9,0.0,158.7,1356713,2614066,0,3152.4,2630.3,10910.6
4.1,579.9,0.0,642.8,1356725,2614066,0,1254.0,1419.3,13544.0
5.2,579.9,0.0,657.2,1356725,2614066,0,1250.0,3963.3,13556.3
6.2,579.9,0.0,1600.8,1357032,2614066,0,1221.7,6225.7,14162.7
