t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,553.0,0.0,268.0,1349047,2532142,0,6156.0,4977.2,14.5
1.0,553.0,0.0,266.4,1349094,2532142,0,6276.3,5172.9,205.2
2.0,553.0,0.0,266.4,1349098,2532142,0,6337.6,5236.2,226.6
3.1,553.0,0.0,266.4,1349098,2532142,0,6337.6,5205.5,226.6
4.1,553.0,0.0,266.4,1349098,2532142,0,6337.6,5202.8,226.7
5.1,553.0,0.0,266.4,1349098,2532142,0,6615.6,5225.4,4467.6
6.2,553.0,0.0,568.3,1349102,2532142,0,5886.4,4723.0,7949.8
7.5,553.0,0.0,4354.2,1349119,2532142,0,2841.1,4332.6,11048.1
8.5,1727.1,1174.1,7836.2,1349313,2607022,74880,2806.7,2286.9,13096.5
