t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,child_footprint_mb,child_peak_footprint_mb
0.1,492.0,0.0,1339.4,1360912,3031408,0,14.0,14.0
1.2,492.0,0.0,1339.4,1360912,3031408,0,2259.0,2259.0
2.5,492.0,0.0,5323.5,1360912,3031408,0,7884.0,7885.0
3.7,492.0,0.0,6205.7,1360912,3031408,0,8055.0,8100.0
4.9,492.0,0.0,1408.6,1360912,3031408,0,8220.0,8291.0
