t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,child_footprint_mb,child_peak_footprint_mb
0.1,450.7,0.0,433.1,17716,160720,0,14.0,14.0
1.2,450.7,0.0,433.5,17744,160720,0,145.0,145.0
2.6,450.7,0.0,433.7,17760,160720,0,5328.0,5328.0
4.1,442.7,-8.0,6290.3,17892,160720,0,11278.0,11278.0
5.4,2614.5,2163.8,10656.4,18096,299108,138388,13326.0,13326.0
