t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,427.8,0.0,280.9,1366786,2614066,0,3238.6,2942.9,14.0
0.5,427.8,0.0,280.9,1366786,2614066,0,3238.6,3184.0,193.6
1.0,427.8,0.0,280.9,1366786,2614066,0,4272.8,3230.7,1497.5
1.6,427.8,0.0,280.9,1366786,2614066,0,5981.1,3268.3,457.3
2.1,427.8,0.0,280.9,1366786,2614066,0,7582.6,3214.8,432.2
2.6,427.8,0.0,280.9,1366786,2614066,0,9058.3,3190.6,574.3
3.1,427.8,0.0,280.9,1366786,2614066,0,10528.5,3190.6,617.6
3.6,427.8,0.0,280.9,1366786,2614066,0,11973.3,3292.0,488.9
4.2,427.8,0.0,280.9,1366786,2614066,0,12710.3,3125.2,536.9
