t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,683.0,0.0,199.3,55948,1014476,0,2812.9,1891.1,14.0,14.0
0.7,683.0,0.0,199.3,55948,1014476,0,2867.0,1971.4,80.0,81.0
1.3,683.0,0.0,199.2,55952,1014476,0,2915.9,2093.9,213.0,213.0
2.0,683.0,0.0,199.5,55972,1014476,0,6469.8,5656.6,4131.0,4131.0
3.0,683.0,0.0,1952.3,55992,1014476,0,6711.5,7883.4,9119.0,9119.0
4.2,683.0,0.0,7143.9,55992,1014476,0,3470.4,5909.9,11278.0,11278.0
4.9,2070.1,1387.1,11571.9,56425,1103212,88736,2248.2,2337.5,13326.0,13326.0
