t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,child_footprint_mb,child_peak_footprint_mb
0.1,0.0,0.0,734.8,0,0,0,14.0,14.0
1.2,0.0,0.0,734.2,0,0,0,205.0,205.0
3.5,0.0,0.0,2141.4,0,0,0,7747.0,7747.0
5.0,1370.0,1370.0,13311.4,428,85088,85088,13326.0,13326.0
