t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,child_footprint_mb,child_peak_footprint_mb
0.1,737.6,0.0,110.2,34099,563063,0,14.0,14.0
1.2,737.6,0.0,110.2,34099,563063,0,200.0,200.0
2.6,737.6,0.0,299.0,34107,563063,0,7475.0,7475.0
4.2,737.6,0.0,9156.6,34107,563063,0,12302.0,12302.0
5.5,3704.7,2967.1,9532.7,34835,753467,190404,14350.0,14350.0
6.8,4858.8,4121.1,7734.5,35083,827839,264776,15374.0,15374.0
