t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,child_footprint_mb,child_peak_footprint_mb
0.1,783.4,0.0,88.2,40971,827848,0,15.0,15.0
1.2,783.4,0.0,88.4,40979,827848,0,2227.0,2227.0
2.7,783.4,0.0,2624.4,41079,827848,0,9964.0,9964.0
4.2,1377.6,594.2,10197.0,41183,865180,37332,12303.0,12303.0
5.4,3691.4,2908.0,9895.7,41607,1014472,186624,13327.0,13327.0
